month,AQI_x,AQI_y,AQI,month
1,162.4952851315075,152.4061194715172,200.0578296439861,1
2,166.32971726750264,149.41880740850144,230.0708661112257,2
3,176.70757577919875,163.0251263698887,183.4496378204732,3
4,172.77383611855507,166.2564125399443,182.68937058732485,4
5,184.3248842502737,170.97200400583557,194.4136372991247,5
6,191.17883587967484,179.58567120787708,205.75675770564524,6
7,192.5764966572509,178.58556387461496,206.29809447762963,7
8,173.14600744951576,163.82950438380496,180.09170777548226,8
9,150.6080151943226,139.0034335675565,159.53309133284705,9
10,156.87312142515566,146.04065025532148,163.19268287825284,10
11,166.7763504939956,150.59674498160996,167.05922838582788,11
12,171.75837827887383,154.60504974827717,174.0939390366627,12
